KOG0175	KOG0183
KOG0175	KOG0176
KOG0184	KOG0181
KOG0184	KOG0173
KOG0184	KOG0185
KOG0184	KOG0174
KOG0184	KOG0182
KOG0184	KOG0178
KOG0184	KOG0180
KOG0184	KOG0177
KOG0184	KOG0863
KOG0184	KOG0183
KOG0184	KOG0176
KOG0181	KOG0173
KOG0181	KOG0185
KOG0181	KOG0174
KOG0181	KOG0182
KOG0181	KOG0178
KOG0181	KOG0180
KOG0181	KOG0177
KOG0181	KOG0863
KOG0181	KOG0183
KOG0181	KOG0176
KOG0173	KOG0185
KOG0173	KOG0174
KOG0173	KOG0182
KOG0173	KOG0178
KOG0173	KOG0180
KOG0173	KOG0177
KOG0173	KOG0863
KOG0173	KOG0183
KOG0173	KOG0176
KOG0185	KOG0174
KOG0185	KOG0182
KOG0185	KOG0178
KOG0185	KOG0180
KOG0185	KOG0177
KOG0185	KOG0863
KOG0185	KOG0183
KOG0185	KOG0176
KOG0174	KOG0182
KOG0174	KOG0178
KOG0174	KOG0180
KOG0174	KOG0177
KOG0174	KOG0863
KOG0174	KOG0183
KOG0174	KOG0176
KOG0182	KOG0178
KOG0182	KOG0180
KOG0182	KOG0177
KOG0182	KOG0863
KOG0182	KOG0183
KOG0182	KOG0176
KOG0178	KOG0180
KOG0178	KOG0177
KOG0178	KOG0863
KOG0178	KOG0183
KOG0178	KOG0176
KOG0180	KOG0177
KOG0180	KOG0863
KOG0180	KOG0183
KOG0180	KOG0176
KOG0177	KOG0863
KOG0177	KOG0183
KOG0177	KOG0176
KOG0863	KOG0183
KOG0863	KOG0176
KOG0183	KOG0176
KOG0179	KOG0173
KOG0179	KOG0184
KOG0179	KOG0175
KOG0179	KOG0174
KOG0179	KOG0181
KOG0179	KOG0185
KOG0179	KOG0182
KOG0179	KOG0178
KOG0179	KOG0180
KOG0179	KOG0177
KOG0179	KOG0863
KOG0179	KOG0183
KOG0179	KOG0176
KOG0173	KOG0184
KOG0173	KOG0175
KOG0173	KOG0174
KOG0173	KOG0181
KOG0173	KOG0185
KOG0173	KOG0182
KOG0173	KOG0178
KOG0173	KOG0180
KOG0173	KOG0177
KOG0173	KOG0863
KOG0173	KOG0183
KOG0173	KOG0176
KOG0184	KOG0175
KOG0184	KOG0174
KOG0184	KOG0181
KOG0184	KOG0185
KOG0184	KOG0182
KOG0184	KOG0178
KOG0184	KOG0180
KOG0184	KOG0177
KOG0184	KOG0863
KOG0184	KOG0183
KOG0184	KOG0176
KOG0175	KOG0174
KOG0175	KOG0181
KOG0175	KOG0185
KOG0175	KOG0182
KOG0175	KOG0178
KOG0175	KOG0180
KOG0175	KOG0177
KOG0175	KOG0863
KOG0175	KOG0183
KOG0175	KOG0176
KOG0174	KOG0181
KOG0174	KOG0185
KOG0174	KOG0182
KOG0174	KOG0178
KOG0174	KOG0180
KOG0174	KOG0177
KOG0174	KOG0863
KOG0174	KOG0183
KOG0174	KOG0176
KOG0181	KOG0185
KOG0181	KOG0182
KOG0181	KOG0178
KOG0181	KOG0180
KOG0181	KOG0177
KOG0181	KOG0863
KOG0181	KOG0183
KOG0181	KOG0176
KOG0185	KOG0182
KOG0185	KOG0178
KOG0185	KOG0180
KOG0185	KOG0177
KOG0185	KOG0863
KOG0185	KOG0183
KOG0185	KOG0176
KOG0182	KOG0178
KOG0182	KOG0180
KOG0182	KOG0177
KOG0182	KOG0863
KOG0182	KOG0183
KOG0182	KOG0176
KOG0178	KOG0180
KOG0178	KOG0177
KOG0178	KOG0863
KOG0178	KOG0183
KOG0178	KOG0176
KOG0180	KOG0177
KOG0180	KOG0863
KOG0180	KOG0183
KOG0180	KOG0176
KOG0177	KOG0863
KOG0177	KOG0183
KOG0177	KOG0176
KOG0863	KOG0183
KOG0863	KOG0176
KOG0183	KOG0176
KOG1554	KOG2582
KOG1554	KOG1497
KOG1554	KOG3050
KOG1554	KOG1464
KOG1554	KOG4414
KOG1554	KOG0686
KOG1554	KOG3250
KOG2582	KOG1497
KOG2582	KOG3050
KOG2582	KOG1464
KOG2582	KOG4414
KOG2582	KOG0686
KOG2582	KOG3250
KOG1497	KOG3050
KOG1497	KOG1464
KOG1497	KOG4414
KOG1497	KOG0686
KOG1497	KOG3250
KOG3050	KOG1464
KOG3050	KOG4414
KOG3050	KOG0686
KOG3050	KOG3250
KOG1464	KOG4414
KOG1464	KOG0686
KOG1464	KOG3250
KOG4414	KOG0686
KOG4414	KOG3250
KOG0686	KOG3250
KOG3554	KOG4161
KOG3554	KOG1721
KOG3554	KOG1342
KOG3554	KOG3554
KOG4161	KOG1721
KOG4161	KOG1342
KOG4161	KOG3554
KOG1721	KOG1342
KOG1721	KOG3554
KOG1342	KOG3554
KOG3605	KOG0609
KOG3605	KOG3550
KOG0609	KOG3550
KOG2736	KOG2657
KOG2736	KOG3972
KOG2736	KOG3402
KOG2657	KOG3972
KOG2657	KOG3402
KOG3972	KOG3402
KOG3605	KOG0033,KOG0609
KOG2736	KOG2657
KOG2736	KOG3972
KOG2736	KOG3402
KOG2657	KOG3972
KOG2657	KOG3402
KOG3972	KOG3402
KOG1077	KOG0935
KOG1077	KOG1061
KOG1077	KOG0938
KOG0935	KOG1061
KOG0935	KOG0938
KOG1061	KOG0938
KOG2851	KOG0970
KOG2851	KOG2267
KOG2851	KOG1625
KOG0970	KOG2267
KOG0970	KOG1625
KOG2267	KOG1625
KOG3589	KOG0085
KOG3589	KOG0286
KOG0085	KOG0286
KOG0385	KOG0244
KOG0385	KOG0933
KOG0385	KOG1342
KOG0385	KOG4204
KOG0385	KOG0996
KOG0385	ENOG502QR6U
KOG0244	KOG0933
KOG0244	KOG1342
KOG0244	KOG4204
KOG0244	KOG0996
KOG0244	ENOG502QR6U
KOG0933	KOG1342
KOG0933	KOG4204
KOG0933	KOG0996
KOG0933	ENOG502QR6U
KOG1342	KOG4204
KOG1342	KOG0996
KOG1342	ENOG502QR6U
KOG4204	KOG0996
KOG4204	ENOG502QR6U
KOG0996	ENOG502QR6U
KOG0092	KOG0993
KOG0360	KOG0362
KOG0360	KOG0361
KOG0360	KOG0363
KOG0360	KOG0358
KOG0360	KOG0357
KOG0360	KOG0359
KOG0360	KOG0364
KOG0362	KOG0361
KOG0362	KOG0363
KOG0362	KOG0358
KOG0362	KOG0357
KOG0362	KOG0359
KOG0362	KOG0364
KOG0361	KOG0363
KOG0361	KOG0358
KOG0361	KOG0357
KOG0361	KOG0359
KOG0361	KOG0364
KOG0363	KOG0358
KOG0363	KOG0357
KOG0363	KOG0359
KOG0363	KOG0364
KOG0358	KOG0357
KOG0358	KOG0359
KOG0358	KOG0364
KOG0357	KOG0359
KOG0357	KOG0364
KOG0359	KOG0364
KOG0360	KOG0362
KOG0360	KOG0361
KOG0360	KOG0363
KOG0360	KOG0358
KOG0360	KOG0357
KOG0360	KOG0359
KOG0360	KOG0364
KOG0362	KOG0361
KOG0362	KOG0363
KOG0362	KOG0358
KOG0362	KOG0357
KOG0362	KOG0359
KOG0362	KOG0364
KOG0361	KOG0363
KOG0361	KOG0358
KOG0361	KOG0357
KOG0361	KOG0359
KOG0361	KOG0364
KOG0363	KOG0358
KOG0363	KOG0357
KOG0363	KOG0359
KOG0363	KOG0364
KOG0358	KOG0357
KOG0358	KOG0359
KOG0358	KOG0364
KOG0357	KOG0359
KOG0357	KOG0364
KOG0359	KOG0364
KOG3589	KOG0286
KOG3391	ENOG502QWFH
KOG3391	KOG0264
KOG3391	KOG1342
KOG3391	KOG0264
KOG3391	KOG1342
KOG3391	KOG4204
ENOG502QWFH	KOG0264
ENOG502QWFH	KOG1342
ENOG502QWFH	KOG0264
ENOG502QWFH	KOG1342
ENOG502QWFH	KOG4204
KOG0264	KOG1342
KOG0264	KOG0264
KOG0264	KOG1342
KOG0264	KOG4204
KOG1342	KOG0264
KOG1342	KOG1342
KOG1342	KOG4204
KOG0264	KOG1342
KOG0264	KOG4204
KOG1342	KOG4204
KOG0660	KOG1343
KOG4495	KOG3473
KOG4495	KOG2821
KOG3473	KOG2821
KOG0660	KOG1343
KOG1342	KOG0273
KOG1342	ENOG502RFJB
KOG1342	KOG0273
KOG1342	KOG1878
KOG0273	ENOG502RFJB
KOG0273	KOG0273
KOG0273	KOG1878
ENOG502RFJB	KOG0273
ENOG502RFJB	KOG1878
KOG0273	KOG1878
KOG1060	KOG1059
KOG1060	KOG2740
KOG1060	KOG0936
KOG1060	KOG1060
KOG1060	KOG0936
KOG1060	KOG2740
KOG1059	KOG2740
KOG1059	KOG0936
KOG1059	KOG1060
